degree-program,current-semester,hours-study-per-day-average,hours-per-day-use-mobile phone,GPA-current/previous-semester,expected-GPA-this-course/semester,hours-sleep-per-night,average-class-attendance,hours-per-day-use-social-media-apps,use-mobile-during-study-sessions,preferred-study-time,primary-study-method,revise-within-24-hours-after-class,start–preparing-exams,academic-stress-level,motivation-level,procrastinate
BS Data Science,4,1.5,3.7,3.06,3.39,6.1,85.2,3.7,Often,Morning,Mixed,Never,1 week before,3,2,Sometimes
BS AI,5,1.5,3.3,3.31,3.1,6.6,78.5,4.5,Always,Late night,Video lectures,Never,1 week before,5,1,Yes
Radiology,6,2.1,4.1,2.74,3.32,6.0,91.0,2.6,Often,Late night,Practice questions,Rarely,Throughout the semester,0,4,Sometimes
BS AI,1,5.5,3.7,1.96,3.28,6.3,79.7,2.2,Often,Evening,Video lectures,Sometimes,1 week before,1,4,Yes
BS Data Science,2,4.4,3.5,2.08,3.32,6.4,83.8,2.6,Sometimes,Late night,Video lectures,Always,Throughout the semester,5,2,No
BS AI,3,5.5,2.4,1.96,3.07,11.6,81.9,0.2,Rarely,Evening,Mixed,Sometimes,Throughout the semester,3,3,Sometimes
BS Data Science,5,4.5,3.6,1.57,3.13,6.8,93.9,3.2,Sometimes,Morning,Mixed,Never,Last day,5,1,Sometimes
BS Data Science,2,4.5,2.7,2.47,3.37,14.5,97.5,0.0,Sometimes,Late night,Mixed,Always,Throughout the semester,5,5,Sometimes
BBA,5,2.0,3.9,2.35,3.3,5.6,85.0,3.8,Often,Morning,Mixed,Rarely,2–3 days before,5,4,Sometimes
Docter of optometry,1,2.3,2.3,3.32,3.38,5.9,89.3,1.5,Often,Evening,Group study,Sometimes,1 week before,3,4,Yes
BS Data Science,5,2.0,3.0,0.0,3.74,7.3,89.5,3.9,Sometimes,Morning,Mixed,Rarely,Throughout the semester,2,1,Sometimes
Radiology,5,5.0,1.7,2.57,2.86,6.9,97.5,2.6,Sometimes,Late night,Mixed,Sometimes,Last day,5,3,Sometimes
BS Accounting & finance,2,1.5,4.4,3.56,3.27,6.2,84.0,3.8,Sometimes,Evening,Mixed,Sometimes,Last day,3,2,Yes
BS Software Engineering,4,1.6,2.7,2.29,3.75,6.6,74.8,4.2,Always,Late night,Mixed,Sometimes,Throughout the semester,5,1,Sometimes
BS Software Engineering,4,1.7,1.5,3.74,3.75,2.5,92.5,2.8,Never,Morning,Practice questions,Often,1 week before,2,1,Sometimes
BS AI,5,1.5,3.7,3.81,3.25,6.4,63.3,2.9,Sometimes,Evening,Video lectures,Rarely,2–3 days before,5,1,Yes
BS Software Engineering,7,1.5,3.8,2.3,3.34,2.5,89.9,3.8,Never,Late night,Mixed,Rarely,2–3 days before,3,2,Sometimes
BS AI,2,1.9,1.5,1.62,3.25,13.4,81.3,1.1,Rarely,Late night,Mixed,Rarely,Throughout the semester,5,3,Sometimes
BS Data Science,7,1.5,1.9,3.19,2.61,10.5,71.9,2.6,Often,Evening,Practice questions,Rarely,Throughout the semester,5,1,Yes
BS Data Science,1,3.8,3.7,2.97,3.33,6.6,95.8,0.8,Sometimes,Evening,Video lectures,Always,Throughout the semester,4,3,Yes
BS AI,1,4.5,1.9,0.85,3.71,6.3,97.5,0.9,Sometimes,Late night,Mixed,Sometimes,2–3 days before,3,5,Yes
BS Data Science,4,1.7,3.5,0.0,3.25,6.5,66.1,2.5,Sometimes,Morning,Mixed,Rarely,Last day,5,1,No
BS Software Engineering,7,2.5,3.8,2.52,3.75,10.4,84.7,1.7,Always,Morning,Video lectures,Often,Throughout the semester,3,4,Sometimes
BS Data Science,5,4.8,3.6,2.26,3.33,8.9,90.1,2.3,Rarely,Morning,Mixed,Always,2–3 days before,5,1,Sometimes
BS Data Science,5,3.7,4.4,2.61,3.75,5.6,60.0,4.5,Sometimes,Late night,Practice questions,Rarely,1 week before,4,3,Yes
BSCS,4,1.5,3.7,2.75,3.75,7.1,85.4,4.4,Often,Morning,Mixed,Never,Last day,2,1,Yes
Radiology,5,1.5,4.5,4.0,3.56,7.2,97.5,4.5,Often,Morning,Mixed,Sometimes,2–3 days before,3,5,Sometimes
BS Data Science,1,4.9,1.5,4.0,3.75,7.4,97.5,4.2,Sometimes,Evening,Practice questions,Rarely,1 week before,5,1,Sometimes
BS Software Engineering,5,1.8,4.1,3.55,3.62,6.7,83.2,3.0,Rarely,Morning,Mixed,Sometimes,1 week before,3,5,Sometimes
BS Data Science,7,1.5,3.8,2.53,3.11,6.1,81.6,2.9,Sometimes,Late night,Group study,Sometimes,Last day,3,4,Sometimes
BS AI,1,5.5,1.5,2.51,3.75,11.4,89.1,3.1,Rarely,Afternoon,Practice questions,Sometimes,1 week before,2,4,Sometimes
BS Data Science,1,2.0,3.4,2.32,3.28,7.1,93.7,3.2,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,3,5,Sometimes
Radiology,1,1.6,3.6,4.0,3.2,6.5,89.5,3.7,Often,Evening,Video lectures,Sometimes,1 week before,1,4,Sometimes
BS Data Science,3,4.5,3.4,3.08,3.27,10.2,97.5,1.2,Never,Morning,Mixed,Never,Throughout the semester,5,1,Yes
Radiology,2,1.7,3.6,2.56,3.35,6.3,94.1,2.2,Sometimes,Late night,Video lectures,Rarely,1 week before,5,3,Sometimes
BS AI,1,1.8,1.5,0.0,3.34,2.5,87.5,0.6,Often,Evening,Mixed,Never,2–3 days before,5,3,Sometimes
BS Computer Science,1,1.9,4.5,3.05,3.29,7.0,93.1,3.3,Often,Morning,Mixed,Never,Throughout the semester,5,3,Yes
BSCS,2,5.5,3.8,3.34,3.36,4.6,96.4,3.5,Sometimes,Late night,Video lectures,Always,Throughout the semester,5,1,No
BS Software Engineering,1,3.9,1.7,3.41,3.75,6.3,88.4,4.5,Sometimes,Morning,Mixed,Rarely,Throughout the semester,3,3,Sometimes
BS Software Engineering,4,3.9,3.5,2.19,3.15,6.5,75.6,3.1,Rarely,Evening,Video lectures,Often,Throughout the semester,0,2,Sometimes
BS Data Science,2,3.8,4.1,0.0,3.55,6.9,82.7,3.3,Sometimes,Late night,Mixed,Rarely,Last day,4,2,Yes
Radiology,4,1.5,3.7,3.17,3.33,6.9,91.7,4.5,Sometimes,Late night,Practice questions,Never,1 week before,4,1,Sometimes
BBA,7,1.8,3.4,1.81,3.43,6.6,84.1,4.5,Sometimes,Morning,Mixed,Rarely,1 week before,3,3,Yes
BS Data Science,4,4.5,3.6,3.59,3.05,5.9,86.8,4.5,Sometimes,Evening,Group study,Often,1 week before,3,4,Yes
Radiology,1,2.1,2.5,2.27,3.29,6.4,92.9,3.4,Sometimes,Afternoon,Mixed,Always,1 week before,4,3,Sometimes
Radiology,5,1.5,1.7,3.8,3.35,6.1,92.5,3.3,Sometimes,Morning,Video lectures,Sometimes,1 week before,1,1,Yes
BS Data Science,5,1.5,3.7,0.0,3.07,8.8,73.2,3.9,Often,Late night,Mixed,Rarely,1 week before,5,1,Sometimes
BS Data Science,4,1.9,3.6,2.19,3.37,6.7,60.0,2.4,Sometimes,Morning,Mixed,Rarely,1 week before,3,4,Sometimes
BS Data Science,5,2.3,1.5,0.0,3.34,5.8,71.4,0.0,Rarely,Evening,Mixed,Sometimes,Throughout the semester,5,2,Sometimes
BS Data Science,7,1.9,4.5,0.01,3.58,6.7,93.8,2.8,Sometimes,Late night,Video lectures,Sometimes,Throughout the semester,3,2,Yes
BS Data Science,6,1.8,3.5,3.16,3.23,6.0,76.3,2.1,Often,Evening,Mixed,Often,Last day,4,1,No
BS Software Engineering,7,1.5,3.7,3.41,3.3,7.2,85.8,1.4,Often,Evening,Mixed,Rarely,1 week before,3,3,Sometimes
BS Accounting & finance,6,1.5,3.2,2.21,3.75,13.3,78.5,1.5,Always,Morning,Mixed,Often,Throughout the semester,5,1,Sometimes
BS Software Engineering,1,1.5,2.2,2.45,3.36,5.9,89.8,3.4,Sometimes,Morning,Mixed,Rarely,1 week before,5,1,Yes
BBA,6,4.1,2.7,2.48,3.65,6.4,80.5,2.6,Never,Late night,Video lectures,Rarely,Throughout the semester,1,3,Sometimes
BS Software Engineering,5,2.0,3.4,2.84,3.31,6.6,97.5,3.8,Sometimes,Afternoon,Mixed,Never,2–3 days before,3,3,Sometimes
Docter of optometry,2,1.7,4.5,2.27,3.62,6.7,85.0,1.8,Often,Evening,Mixed,Sometimes,Throughout the semester,3,3,Yes
BS Data Science,1,2.1,4.5,2.05,3.34,6.5,77.7,2.7,Sometimes,Late night,Group study,Often,Throughout the semester,5,4,Yes
BS Data Science,5,1.5,3.6,3.22,3.72,2.5,86.9,4.3,Often,Morning,Practice questions,Sometimes,Last day,2,3,No
BS Data Science,3,2.0,4.5,3.9,3.59,6.7,76.7,4.5,Sometimes,Evening,Mixed,Rarely,Throughout the semester,5,4,Sometimes
BS Data Science,1,3.3,3.8,2.25,3.13,6.1,90.9,3.5,Sometimes,Late night,Group study,Sometimes,1 week before,3,2,No
BBA,5,1.5,1.5,2.45,3.3,6.3,78.1,2.2,Often,Late night,Mixed,Never,1 week before,5,1,Yes
BS Software Engineering,1,1.8,3.3,4.0,3.19,6.0,97.5,3.1,Sometimes,Late night,Video lectures,Rarely,2–3 days before,4,4,No
BS Data Science,5,1.5,3.8,3.72,3.75,6.4,86.8,4.0,Sometimes,Late night,Video lectures,Sometimes,2–3 days before,4,3,Yes
Radiology,5,2.0,4.4,4.0,3.65,6.5,86.7,2.9,Sometimes,Morning,Mixed,Often,1 week before,2,5,Sometimes
Radiology,3,4.9,3.6,2.78,3.29,6.9,80.7,0.9,Rarely,Late night,Mixed,Sometimes,2–3 days before,5,2,Sometimes
BS Software Engineering,5,3.2,1.6,2.31,3.16,6.3,79.1,0.7,Often,Afternoon,Video lectures,Often,Throughout the semester,0,2,Yes
BBA,3,1.8,2.0,3.91,3.38,4.4,94.5,1.8,Sometimes,Morning,Mixed,Sometimes,Throughout the semester,5,1,No
BS AI,4,1.7,3.6,0.0,3.36,6.6,91.5,4.5,Often,Late night,Mixed,Never,Last day,2,1,Sometimes
BS Data Science,5,1.5,3.9,2.26,3.41,5.8,88.5,3.3,Often,Morning,Group study,Never,Last day,5,1,Yes
BS Mathematics,3,1.5,4.5,2.85,2.34,6.7,84.3,2.2,Often,Morning,Practice questions,Sometimes,1 week before,3,5,Sometimes
BS Mathematics,6,1.9,3.7,2.71,3.19,6.0,74.0,4.5,Often,Morning,Video lectures,Rarely,1 week before,4,3,Sometimes
BS Mathematics,5,1.5,3.7,4.0,3.72,6.8,89.8,4.5,Always,Morning,Group study,Never,Last day,5,3,Sometimes
BS AI,4,5.5,2.0,2.31,3.13,14.5,85.3,1.9,Never,Evening,Reading notes,Always,Throughout the semester,2,1,Yes
BS Software Engineering,3,1.5,3.3,3.08,3.18,7.2,97.5,3.4,Sometimes,Late night,Mixed,Rarely,Throughout the semester,3,5,Sometimes
BS AI,2,4.6,1.5,0.0,2.51,6.6,85.4,0.4,Sometimes,Evening,Mixed,Never,Throughout the semester,5,1,Sometimes
BS Data Science,4,5.5,4.5,1.61,3.14,11.6,97.5,2.5,Rarely,Late night,Mixed,Sometimes,Throughout the semester,5,5,Sometimes
BS Data Science,1,1.7,3.2,2.66,2.92,7.0,74.5,3.5,Sometimes,Evening,Mixed,Rarely,2–3 days before,3,1,Yes
BS Computer Science,5,4.0,3.9,4.0,3.75,7.8,82.1,3.4,Never,Morning,Practice questions,Often,1 week before,4,1,No
BS Software Engineering,4,1.5,1.8,3.96,3.29,5.6,89.0,3.3,Often,Evening,Mixed,Never,Last day,2,1,Yes
Docter of optometry,3,3.8,1.5,2.03,3.7,8.8,79.0,2.7,Rarely,Late night,Mixed,Sometimes,Throughout the semester,1,5,No
Docter of optometry,5,1.5,4.2,1.75,3.67,6.5,86.1,1.8,Rarely,Late night,Mixed,Never,1 week before,3,1,Yes
BS AI,7,1.5,3.3,2.41,3.15,5.6,86.3,4.5,Never,Late night,Group study,Never,1 week before,4,1,Yes
BS Data Science,3,2.2,3.3,1.48,3.23,12.3,81.9,2.7,Sometimes,Late night,Mixed,Rarely,2–3 days before,5,1,Yes
BS AI,2,2.2,4.2,2.47,3.41,6.6,95.8,2.0,Rarely,Morning,Mixed,Sometimes,Throughout the semester,0,2,Sometimes
BS Software Engineering,6,5.4,3.3,3.62,3.75,6.1,93.6,2.4,Always,Late night,Mixed,Rarely,Throughout the semester,3,5,Sometimes
BSCS,1,4.1,3.0,2.71,3.75,6.6,82.9,0.4,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,2,4,Sometimes
BS Computer Science,2,1.5,3.7,1.59,2.85,6.1,92.3,3.2,Sometimes,Late night,Mixed,Rarely,Last day,4,1,Yes
BS Data Science,2,2.0,2.2,1.86,3.21,5.6,67.8,4.5,Rarely,Evening,Practice questions,Never,2–3 days before,2,5,Sometimes
BS Data Science,5,1.6,4.0,3.03,3.25,6.2,92.9,3.0,Often,Evening,Mixed,Never,1 week before,2,1,Yes
BS Data Science,6,1.9,3.0,3.02,3.16,6.6,82.7,1.4,Never,Morning,Video lectures,Rarely,2–3 days before,5,1,No
Radiology,5,1.9,3.7,3.51,3.32,6.7,73.6,3.4,Often,Morning,Video lectures,Never,Last day,3,2,Sometimes
BS Accounting & finance,3,4.4,4.3,4.0,3.75,13.7,86.0,3.0,Sometimes,Late night,Mixed,Sometimes,Last day,4,3,Sometimes
BS Accounting & finance,4,1.5,3.2,3.26,3.54,6.4,96.1,4.3,Often,Late night,Reading notes,Sometimes,Last day,3,1,Yes
BS English,6,1.6,3.6,3.86,3.44,7.2,94.3,2.2,Often,Morning,Mixed,Sometimes,1 week before,5,4,No
BS English,4,1.8,2.2,3.22,3.66,9.9,86.9,3.5,Rarely,Evening,Group study,Always,Throughout the semester,5,5,No
Docter of optometry,5,1.8,3.6,2.96,3.25,6.2,86.9,2.9,Sometimes,Morning,Mixed,Rarely,2–3 days before,3,2,Sometimes
BS Software Engineering,1,1.6,4.4,4.0,3.75,6.5,85.2,3.9,Sometimes,Morning,Video lectures,Sometimes,Throughout the semester,3,3,No
BS Data Science,5,1.9,4.0,2.71,3.66,6.3,93.5,3.0,Often,Morning,Mixed,Sometimes,Last day,3,1,Yes
BS Data Science,2,1.7,3.6,2.48,3.19,6.1,87.9,3.6,Never,Evening,Mixed,Never,Throughout the semester,2,3,Yes
BS Mathematics,4,1.5,4.5,3.87,3.64,6.1,96.9,3.7,Rarely,Morning,Mixed,Rarely,1 week before,2,4,Sometimes
BS Urdu,1,5.5,2.4,2.94,3.75,5.9,93.8,1.5,Often,Evening,Mixed,Sometimes,1 week before,4,2,Sometimes
Radiology,3,1.9,1.7,2.3,2.63,6.5,92.3,3.5,Always,Late night,Practice questions,Never,Last day,1,1,Yes
BS Software Engineering,2,4.7,3.6,3.34,3.73,6.8,74.2,2.4,Sometimes,Evening,Video lectures,Sometimes,Throughout the semester,0,4,Sometimes
BS AI,3,5.5,3.8,3.32,3.24,6.1,91.2,1.8,Rarely,Afternoon,Video lectures,Sometimes,1 week before,3,2,Yes
BS Software Engineering,5,5.5,3.2,1.39,3.25,7.2,84.8,4.2,Rarely,Late night,Mixed,Never,1 week before,5,3,Sometimes
BS Data Science,5,1.8,3.8,3.8,3.75,6.4,75.0,4.4,Never,Morning,Mixed,Never,Last day,5,1,Yes
BS English,6,1.6,1.5,0.0,3.26,2.5,80.0,1.6,Always,Morning,Mixed,Sometimes,Throughout the semester,5,2,Sometimes
BS Mathematics,5,3.0,3.6,3.74,3.17,2.5,92.2,4.5,Sometimes,Morning,Mixed,Rarely,1 week before,2,3,No
BS Data Science,5,1.9,1.9,1.87,3.26,7.2,83.0,2.5,Sometimes,Evening,Mixed,Never,Last day,4,1,Yes
BS Data Science,5,1.5,3.3,3.1,3.18,6.2,94.8,3.6,Always,Morning,Video lectures,Often,2–3 days before,4,1,Sometimes
BS Data Science,4,4.0,3.7,3.46,3.66,6.7,60.0,4.1,Sometimes,Evening,Mixed,Sometimes,Last day,4,2,Sometimes
BS Data Science,1,5.5,1.5,0.0,3.21,6.6,87.9,2.6,Often,Morning,Video lectures,Never,Throughout the semester,5,1,Yes
BS Urdu,3,2.0,1.5,3.04,3.23,6.3,63.4,2.4,Sometimes,Morning,Group study,Rarely,2–3 days before,4,3,Sometimes
BS Computer Science,5,1.5,2.0,3.25,3.35,7.3,70.2,1.4,Rarely,Morning,Mixed,Sometimes,1 week before,5,1,Yes
BS Data Science,5,1.5,2.8,3.04,3.75,6.6,85.8,1.8,Sometimes,Evening,Mixed,Never,1 week before,5,2,Sometimes
BS AI,3,5.1,1.5,2.69,3.62,6.0,75.1,2.2,Rarely,Late night,Mixed,Rarely,Throughout the semester,4,4,Sometimes
BS Data Science,5,1.6,4.5,3.34,3.35,6.7,76.6,3.9,Often,Late night,Mixed,Rarely,Last day,4,1,Sometimes
BBA,3,4.8,2.1,2.46,3.75,2.5,81.8,0.9,Rarely,Late night,Mixed,Often,2–3 days before,2,5,Sometimes
BS Data Science,5,1.5,3.9,3.26,3.68,6.2,95.4,4.5,Sometimes,Morning,Mixed,Rarely,Last day,4,2,Sometimes
BS Urdu,1,4.2,1.8,3.15,3.75,6.5,89.4,4.4,Often,Afternoon,Video lectures,Sometimes,Throughout the semester,1,3,Yes
BS Data Science,6,1.5,3.9,2.77,3.18,7.4,92.3,4.5,Often,Morning,Mixed,Rarely,1 week before,4,2,No
Radiology,3,1.5,3.0,3.26,3.75,7.3,97.3,1.5,Rarely,Evening,Mixed,Rarely,1 week before,5,2,Sometimes
Radiology,4,2.0,3.8,2.78,3.25,6.5,95.2,4.2,Often,Late night,Reading notes,Rarely,1 week before,5,1,Yes
BS Data Science,3,5.5,3.7,2.88,3.21,6.3,92.7,3.0,Sometimes,Evening,Video lectures,Always,Throughout the semester,5,2,Sometimes
BS Data Science,5,1.5,2.2,3.42,3.75,6.6,85.6,3.5,Rarely,Evening,Group study,Sometimes,1 week before,2,2,Yes
BS Software Engineering,5,1.8,3.7,2.25,3.25,6.7,94.7,4.1,Often,Morning,Mixed,Sometimes,1 week before,1,4,Sometimes
Docter of optometry,2,4.7,2.1,4.0,3.75,6.1,94.7,1.8,Sometimes,Evening,Practice questions,Rarely,1 week before,3,4,Sometimes
BS Software Engineering,5,2.1,3.7,0.0,3.23,6.3,77.4,2.0,Rarely,Late night,Mixed,Sometimes,2–3 days before,5,1,No
BS Data Science,5,1.5,4.3,3.71,3.57,7.3,80.8,4.5,Sometimes,Morning,Mixed,Rarely,1 week before,5,4,Sometimes
BS Data Science,4,1.5,3.9,2.69,3.24,5.6,60.0,2.7,Often,Evening,Group study,Sometimes,1 week before,4,3,Yes
BS AI,1,1.5,3.5,2.47,3.75,8.3,90.3,1.2,Rarely,Afternoon,Mixed,Always,1 week before,3,3,Yes
Radiology,3,1.7,3.7,1.74,3.21,6.1,80.9,2.5,Sometimes,Evening,Mixed,Never,Throughout the semester,5,2,No
BS Data Science,2,5.0,1.5,1.84,3.2,8.9,92.9,1.0,Rarely,Late night,Mixed,Always,2–3 days before,3,1,No
BS AI,4,5.5,3.4,2.66,3.66,6.7,97.5,2.0,Rarely,Evening,Group study,Always,Throughout the semester,2,1,Sometimes
BS Data Science,3,1.7,3.3,2.21,3.72,6.6,91.3,1.3,Often,Morning,Mixed,Sometimes,Throughout the semester,4,5,Sometimes
BS Data Science,1,2.0,3.2,2.66,3.15,6.3,79.7,2.5,Sometimes,Evening,Mixed,Always,Throughout the semester,4,4,Yes
BS Data Science,3,1.9,2.3,0.0,3.28,8.3,73.5,3.0,Often,Evening,Mixed,Never,Last day,5,1,Yes
BS Data Science,5,1.5,2.3,2.8,2.91,5.9,91.2,3.7,Always,Late night,Video lectures,Rarely,1 week before,5,1,No
BS Software Engineering,5,4.3,3.2,3.15,3.22,6.1,93.5,2.9,Always,Morning,Mixed,Never,Throughout the semester,2,1,No
BS Software Engineering,2,1.5,3.7,2.44,3.17,6.2,80.5,2.5,Rarely,Evening,Mixed,Sometimes,Last day,2,4,Sometimes
BS AI,5,1.8,4.5,3.61,3.75,6.6,95.3,3.3,Sometimes,Morning,Practice questions,Often,2–3 days before,2,1,Sometimes
BS Data Science,5,1.5,3.5,2.33,3.75,7.1,87.5,4.4,Sometimes,Late night,Mixed,Never,Last day,5,1,Sometimes
BS Data Science,4,2.1,1.5,1.6,3.63,14.5,76.5,1.6,Rarely,Evening,Mixed,Rarely,Last day,5,2,Sometimes
BS AI,3,1.8,3.3,3.46,3.33,6.7,93.8,3.4,Sometimes,Evening,Video lectures,Rarely,2–3 days before,5,1,Yes
BS Software Engineering,3,4.2,3.5,1.96,3.26,6.3,91.4,3.6,Rarely,Evening,Mixed,Often,1 week before,4,5,Yes
BS Data Science,6,1.7,3.6,2.73,3.1,7.6,91.6,3.2,Often,Late night,Mixed,Never,Last day,5,1,No
BBA,1,5.1,4.5,4.0,3.32,5.8,79.8,1.2,Rarely,Evening,Mixed,Rarely,Last day,3,1,Sometimes
BS Data Science,6,5.4,4.3,4.0,3.24,6.6,93.4,2.5,Sometimes,Morning,Mixed,Sometimes,1 week before,5,2,Sometimes
BBA,4,1.8,4.5,3.18,3.75,6.6,85.8,2.3,Rarely,Morning,Mixed,Sometimes,1 week before,4,5,Sometimes
DPT,2,1.8,3.4,2.27,3.36,5.6,91.8,2.9,Sometimes,Morning,Group study,Sometimes,Last day,4,3,Yes
DPT,6,1.5,3.8,0.0,3.27,9.3,95.1,2.6,Sometimes,Morning,Video lectures,Never,Last day,5,1,Yes
BS Data Science,5,1.5,4.5,3.23,3.11,6.0,95.6,3.5,Often,Late night,Mixed,Sometimes,2–3 days before,4,3,Sometimes
BS Data Science,4,3.1,4.0,4.0,3.28,6.7,90.9,4.5,Sometimes,Late night,Video lectures,Always,Last day,3,1,Sometimes
BS Software Engineering,4,1.6,4.5,3.09,3.73,2.5,91.6,3.8,Sometimes,Morning,Practice questions,Sometimes,1 week before,5,1,Sometimes
BS Mathematics,2,4.7,1.6,0.0,3.23,12.7,78.6,1.0,Sometimes,Morning,Mixed,Rarely,1 week before,4,1,Sometimes
BS Software Engineering,4,5.2,1.5,1.65,3.55,10.7,83.4,2.5,Rarely,Late night,Mixed,Never,Throughout the semester,5,1,Sometimes
BS Data Science,3,1.9,3.4,1.67,3.11,2.5,60.0,2.0,Always,Late night,Reading notes,Sometimes,Throughout the semester,3,1,Sometimes
BS Mathematics,1,4.2,3.1,4.0,3.61,5.8,94.6,4.2,Sometimes,Evening,Mixed,Sometimes,1 week before,2,4,Sometimes
BS Software Engineering,1,1.5,4.5,4.0,3.26,6.9,93.4,4.5,Sometimes,Morning,Mixed,Sometimes,Last day,4,2,Sometimes
BS Data Science,4,5.5,1.9,2.32,3.75,6.7,97.5,1.0,Rarely,Morning,Mixed,Rarely,Last day,2,1,Sometimes
BS Urdu,6,1.5,3.4,0.0,3.33,6.6,90.4,3.6,Often,Morning,Mixed,Always,Last day,3,1,Sometimes
BS Software Engineering,4,1.6,3.6,4.0,3.72,6.0,94.2,2.5,Sometimes,Morning,Mixed,Sometimes,1 week before,3,5,Sometimes
BS Urdu,7,1.6,4.0,3.39,3.33,6.1,91.4,4.5,Often,Morning,Reading notes,Rarely,1 week before,5,1,Sometimes
BS Data Science,2,1.9,1.6,3.06,3.2,10.2,92.8,0.7,Always,Evening,Mixed,Rarely,Throughout the semester,5,1,Yes
Radiology,1,2.3,4.5,1.76,3.26,6.9,78.5,0.0,Sometimes,Evening,Mixed,Sometimes,Throughout the semester,4,4,Sometimes
BS Data Science,5,1.8,1.5,2.14,3.22,9.9,62.5,4.5,Often,Afternoon,Practice questions,Often,2–3 days before,5,1,Sometimes
BS AI,6,5.5,1.5,0.0,3.75,6.2,96.5,2.2,Always,Late night,Practice questions,Rarely,Throughout the semester,4,3,Sometimes
BS Software Engineering,5,1.5,2.2,2.39,2.41,6.3,96.6,2.7,Often,Late night,Mixed,Rarely,2–3 days before,4,1,No
BS English,5,2.7,4.5,4.0,3.14,6.3,90.8,3.4,Often,Late night,Mixed,Sometimes,1 week before,0,5,Sometimes
BS AI,2,2.0,3.4,2.24,3.28,7.1,81.2,3.3,Sometimes,Evening,Mixed,Never,Last day,5,1,Sometimes
BS AI,3,5.5,3.8,2.72,3.21,7.5,73.6,3.2,Rarely,Late night,Mixed,Never,Throughout the semester,4,1,Sometimes
BS Software Engineering,4,1.5,3.8,1.86,3.32,6.8,82.8,2.5,Rarely,Late night,Mixed,Never,Last day,2,3,Sometimes
BS Mathematics,4,3.5,3.6,2.75,3.35,6.6,74.4,4.0,Always,Late night,Mixed,Often,Last day,5,1,No
BS Software Engineering,1,1.5,3.9,0.0,3.28,6.3,85.6,4.4,Sometimes,Evening,Video lectures,Rarely,1 week before,0,4,Yes
BS Data Science,5,1.5,2.9,3.55,2.72,5.8,84.5,4.2,Never,Morning,Mixed,Sometimes,2–3 days before,4,4,Sometimes
DPT,3,2.0,2.2,2.85,3.18,6.7,60.0,3.4,Never,Late night,Mixed,Often,Last day,5,1,Yes
Radiology,2,1.8,1.5,1.88,3.29,6.5,78.4,0.8,Sometimes,Morning,Mixed,Never,2–3 days before,2,1,Sometimes
BS Data Science,1,1.5,1.5,2.02,3.24,5.5,85.7,1.2,Rarely,Evening,Mixed,Often,2–3 days before,2,2,Yes
BS Data Science,5,1.5,3.7,2.76,3.22,6.6,87.1,3.4,Always,Afternoon,Mixed,Rarely,1 week before,4,3,Yes
BS Software Engineering,6,1.5,1.9,2.47,3.75,6.2,92.3,1.9,Always,Late night,Mixed,Never,1 week before,4,1,Sometimes
BS Computer Science,5,1.5,4.5,3.98,3.75,5.7,92.2,3.5,Sometimes,Morning,Mixed,Sometimes,Last day,3,1,Sometimes
BS Software Engineering,4,1.5,3.5,2.36,3.32,6.4,96.3,2.4,Often,Morning,Mixed,Never,Throughout the semester,3,1,Sometimes
BS AI,7,2.1,1.5,2.16,3.13,6.8,90.1,2.6,Rarely,Evening,Mixed,Always,Throughout the semester,3,2,Sometimes
BS Software Engineering,6,1.5,4.2,4.0,3.65,6.2,94.7,3.8,Sometimes,Morning,Mixed,Rarely,1 week before,5,3,Sometimes
BS Data Science,6,1.6,3.6,2.6,3.33,6.3,63.5,4.5,Sometimes,Late night,Mixed,Rarely,Last day,4,2,Yes
Radiology,3,5.5,3.0,2.37,3.16,5.9,92.2,2.2,Sometimes,Morning,Video lectures,Sometimes,Throughout the semester,5,2,Yes
BS Data Science,3,2.6,1.9,3.4,2.84,12.8,78.6,2.3,Rarely,Evening,Mixed,Often,2–3 days before,0,2,Sometimes
BS Data Science,6,1.8,2.0,2.73,3.75,12.0,77.3,4.5,Always,Afternoon,Mixed,Rarely,Throughout the semester,5,1,No
BS Accounting & finance,2,1.7,3.5,4.0,3.21,6.3,97.5,3.9,Sometimes,Late night,Video lectures,Rarely,Last day,1,2,Yes
BS Data Science,6,1.5,2.3,3.2,3.75,5.9,90.4,3.0,Often,Morning,Mixed,Sometimes,1 week before,3,4,Sometimes
BS Data Science,5,1.5,3.9,3.65,3.31,6.2,74.4,4.5,Sometimes,Morning,Mixed,Rarely,1 week before,5,1,Yes
BS Accounting & finance,6,2.2,4.5,1.92,3.4,8.1,60.0,0.0,Sometimes,Morning,Mixed,Sometimes,Last day,3,2,Yes
BS Data Science,4,1.8,3.7,0.0,3.38,5.9,71.6,4.5,Sometimes,Late night,Mixed,Never,2–3 days before,5,2,Yes
BS Data Science,3,1.8,3.6,3.06,3.25,5.8,96.5,3.8,Sometimes,Morning,Mixed,Rarely,1 week before,4,1,Yes
BS Software Engineering,2,3.4,3.3,3.55,3.75,6.0,97.5,2.7,Sometimes,Evening,Video lectures,Rarely,2–3 days before,5,2,Sometimes
BS Data Science,5,4.1,3.8,1.78,3.18,7.2,75.5,4.5,Often,Late night,Video lectures,Never,Throughout the semester,3,3,Yes
